PNG	Name	SpT	SpT2	RB
027.6+04.2 	M 2-43                	[WC7-8]                               	                              	
027.6+16.9 	DeHt 2                	O                                     	                              	
027.6-09.6 	IC 4846               	Of                                    	                              	
028.0+10.2 	WeSb 3                	PG 1159?                              	                              	
029.2-05.9 	NGC 6751              	[WO4]                                 	                              	
030.6+06.2 	Sh 2-68               	hybrid                                	DAO                           	
033.2-01.9 	Sa 3-151              	A                                     	                              	bc-CSPN
034.1-10.5 	HDW 11                	hgO(H)                                	                              	
034.5-06.7 	NGC 6778              	cont.                                 	                              	MC2010
034.6+11.8 	NGC 6572              	wels                                  	                              	
035.9-01.1 	Sh 2-71               	A7 V - F0 V                           	                              	F1999
036.0+17.6 	A 43                  	hybrid                                	                              	
036.1-57.1 	NGC 7293              	DAO                                   	                              	
036.4-01.9 	IRAS 19021+0209       	cont.                                 	                              	
037.5-05.1 	A 58                  	[WCE]                                 	                              	
037.7-06.0 	MPA 1921+0132         	[WO3-4]                               	                              	
037.7-34.5 	NGC 7009              	O(H)                                  	                              	
037.8-06.3 	NGC 6790              	WN?                                   	                              	
038.2+12.0 	Cn 3-1                	wels                                  	                              	
042.5-14.5 	NGC 6852              	PG 1159                               	                              	
042.9-06.9 	NGC 6807              	Of                                    	                              	
043.1+03.8 	M 1-65                	O6                                    	CIII and HeII emission        	
043.1+37.7 	NGC 6210              	O6                                    	                              	
043.3+11.6 	M 3-27                	Halpha emission                       	                              	
045.4-02.7 	Vy 2-2                	B[e]                                  	                              	
045.7-04.5 	NGC 6804              	O9                                    	                              	
046.4-04.1 	NGC 6803              	wels                                  	                              	
046.8+03.8 	Sh 2-78               	PG 1159                               	                              	
047.0+42.4 	A 39                  	hgO(H)                                	                              	
048.7+01.9 	He 2-429              	[WC4]                                 	                              	
049.4+02.4 	He 2-428              	O5                                    	                              	SG2010
051.0+02.8 	IRAS 19127+1717       	? + B9 V                              	                              	bc-CSPN
051.9-03.8 	M 1-73                	wels                                  	                              	
052.2-04.0 	M 1-74                	WN b?                                 	                              	
052.5-02.9 	Me 1-1                	K(1-2) II                             	                              	bc-CSPN
053.8-03.0 	A 63                  	M4 V                                  	                              	
054.1-12.1 	NGC 6891              	wels                                  	                              	
055.1-01.8 	K 3-43                	M                                     	                              	bc-CSPN
055.4+16.0 	A 46                  	M6 V                                  	O9k                           	MO2007
055.5-00.5 	M 1-71                	wels                                  	                              	
057.2-08.9 	NGC 6879              	wels                                  	                              	
058.3-10.9 	IC 4997               	wels                                  	                              	
060.1-07.7 	NGC 6886              	cont.                                 	                              	
060.4+01.5 	PM 1-310              	[WC11]                                	                              	
060.8-03.6 	NGC 6853              	DAO                                   	                              	
061.0+08.0 	K 3-27                	G0:                                   	                              	bc-CSPN
061.4-09.5 	NGC 6905              	[WO2]                                 	                              	
061.8+02.1 	He 2-442              	symbiotic star?                       	                              	
061.9+41.3 	DDDM 1                	O(H)                                  	                              	
062.4+09.5 	NGC 6765              	PG 1159                               	                              	
063.1+13.9 	NGC 6720              	DA(O?)                                	                              	
064.6+48.2 	NGC 6058              	O9                                    	                              	
064.7+05.0 	BD+30 3639            	[WC9]                                 	                              	
065.0-27.3 	Ps 1                  	sdO                                   	O(H)-C                        	
066.7-28.2 	NGC 7094              	hybrid                                	                              	
068.3-02.7 	He 2-459              	[WC9]                                 	                              	
068.7+14.8 	SP 4-1                	wels                                  	                              	
069.4-02.6 	NGC 6894              	WD?                                   	                              	
072.7-17.1 	A 74                  	DAO                                   	                              	
075.7+35.8 	Sa 4- 1               	O(H)                                  	                              	
077.6+14.7 	A 61                  	hgO(H)                                	                              	
080.3-10.4 	RX J2117.1+3412       	PG 1159                               	                              	
081.2-14.9 	A 78                  	[WC]-PG1159                           	                              	
082.1+07.0 	NGC 6884              	WN b?                                 	                              	
082.5+11.3 	NGC 6833              	Of                                    	                              	
083.5+12.7 	NGC 6826              	O3f(H)                                	                              	LR1983
089.0+00.3 	NGC 7026              	[WO3]                                 	                              	
089.3-02.2 	M 1-77                	OB ?                                  	                              	
089.8-05.1 	IC 5117               	[WR]                                  	                              	
093.4+05.4 	NGC 7008              	O7                                    	                              	CB1999
093.9-00.1 	IRAS 21282+5050       	O7(f)-[WC11]                          	                              	
094.0+27.4 	K 1-16                	PG 1159 (lg E)                        	[WO]                          	
095.2+00.7 	K 3-62                	cont.                                 	                              	
096.3+02.3 	K 3-61                	[WC4-6]                               	                              	
096.4+29.9 	NGC 6543              	wels                                  	                              	
096.9+32.0 	RE 1738+665           	DA                                    	                              	
096.9+32.0 	RE 1738+665           	DA                                    	                              	
100.0-08.7 	Me 2-2                	Of                                    	                              	
100.6-05.4 	IC 5217               	[WC8-9]?                              	wels                          	
102.9-02.3 	A 79                  	F0 V                                  	                              	bc-CSPN
103.7+00.4 	M 2-52                	Non-[WC]                              	                              	
104.2-29.6 	Jn 1                  	PG 1159 (E)                           	                              	
104.4-01.6 	M 2-53                	WN a?                                 	                              	
104.8-06.7 	M 2-54                	B                                     	                              	bc-CSPN
106.5-17.6 	NGC 7662              	UV emission lines                     	                              	
107.7+07.8 	IsWe 2                	DA                                    	                              	
107.7-02.2 	M 1-80                	cont.                                 	                              	
107.8+02.3 	NGC 7354              	cont.                                 	                              	
111.0+11.6 	DeHt 5                	DA                                    	                              	
111.8-02.8 	Hb 12                 	B[e]?                                 	WN7?                          	HI2006
114.0-04.6 	A 82                  	K0 IV                                 	                              	bc-CSPN
118.0-08.6 	Vy 1-1                	O(H)                                  	[WC]                          	
118.8-74.7 	NGC 246               	PG 1159 (lg E)                        	                              	BC1999
119.6-06.7 	Hu 1-1                	A?                                    	                              	bc-CSPN
120.0+09.8 	NGC 40                	[WC8]                                 	                              	
120.2-05.3 	Sh 2-176              	DA                                    	                              	
120.3+18.3 	Sh 2-174              	DAO                                   	                              	
123.6+34.5 	IC 3568               	O3(H)                                 	O5f                           	
124.0+10.7 	EGB 1                 	DA                                    	                              	
125.9-47.0 	PHL 932               	hgO(H)                                	                              	
126.6+01.3 	PRINCIPES DE ASTURIAS 	Halpha and CaII emission              	                              	MC2006
128.0-04.1 	Sh 2-188              	DAO                                   	                              	
130.2+01.3 	IC 1747               	[WO4]                                 	                              	
130.9-10.5 	NGC 650-1             	PG 1159 (E)                           	                              	
135.6+01.0 	WeBo 1                	K0 III                                	                              	BP2003
135.9+55.9 	TS 01                 	WD/NS                                 	                              	NT2005
136.3+05.5 	HFG 1                 	F9 V                                  	                              	GB1987
138.1+04.1 	HDW 2                 	A                                     	                              	bc-CSPN
138.8+02.8 	IC 289                	O(H)                                  	WD?                           	
143.6+23.8 	EGB 4                 	H-rich                                	                              	NS1995
144.5+06.5 	NGC 1501              	[WO4]                                 	                              	
144.8+65.8 	BE Uma                	M3 V                                  	                              	FM1981
146.7+07.6 	M 4-18                	[WC11]                                	                              	
147.4-02.3 	M 1-4                 	Of                                    	                              	
148.4+57.0 	NGC 3587              	hgO(H)                                	                              	
149.4-09.2 	HDW 3                 	DAO                                   	                              	
149.7-03.3 	IsWe 1                	PG 1159 (A)                           	                              	
156.3+12.5 	HDW 4                 	DA                                    	                              	
156.9-13.3 	HaWe 5                	DA                                    	                              	
158.6+00.7 	Sh 2-216              	DAO                                   	                              	
158.9+17.8 	PuWe 1                	DAO                                   	                              	
159.0-15.1 	IC 351                	wels                                  	                              	
161.2-14.8 	IC 2003               	[WC3]?                                	[WC7-8]                       	
164.8+31.1 	VV 47                 	PG 1159 (E:)                          	                              	
165.5-06.5 	K 3-67                	O(C)                                  	CIV+HeII emission             	
165.5-15.2 	NGC 1514              	sdO + A0 III                          	                              	bc-CSPN
166.1+10.4 	IC 2149               	O4f                                   	                              	
167.4-09.1 	K 3-66                	cont.                                 	                              	
169.6+00.0 	IC 2120               	G                                     	                              	bc-CSPN
170.3+15.8 	NGC 2242              	O(H)                                  	                              	
189.1+19.8 	NGC 2371-72           	[WO1]                                 	                              	
189.8+07.7 	M 1-7                 	[WO]-[WC8]                            	                              	
190.3-17.7 	J 320                 	wels                                  	                              	
191.4+33.1 	Ton 320               	DAO                                   	                              	
193.6-09.5 	H 3-75                	G-K                                   	                              	bc-CSPN
194.2+02.5 	J 900                 	wels                                  	                              	
196.6-10.9 	NGC 2022              	O(H)                                  	                              	
197.4-06.4 	WeDe 1                	DA                                    	                              	
197.8+17.3 	NGC 2392              	O6f                                   	                              	CB1999
197.8-03.3 	A 14                  	B5 III-V                              	                              	bc-CSPN
204.1+04.7 	K 2-2                 	hgO(H)                                	                              	
205.1+14.2 	A 21                  	PG 1159 (E)                           	                              	
206.4-40.5 	NGC 1535              	O5                                    	                              	CB1999
208.5+33.2 	A 30                  	[WC]-PG1159                           	                              	CB1999
211.2-03.5 	M 1-6                 	emission-line                         	                              	
211.4+18.4 	HDW 7                 	hgO(H)                                	                              	
211.9+22.6 	EGB 5                 	hgO(H)                                	                              	
214.9+07.8 	A 20                  	O(H)                                  	                              	
215.2-24.2 	IC 418                	Of(H)                                 	                              	
215.5-30.8 	A 7                   	DAO                                   	                              	CB1999
215.6+03.6 	NGC 2346              	A5 V                                  	                              	MN1981
215.7-03.9 	BMP 0642-0417         	Blue                                  	                              	
216.0+07.4 	PHR 0723+0036         	[WR]                                  	                              	
218.9-10.7 	HDW 5                 	hgO(H)                                	unknown absorption at 5758{AA}	
219.1+31.2 	A 31                  	hgO(H)                                	                              	CB1999
219.5+02.8 	BMP 0713-0432         	Blue?                                 	                              	
220.3-53.9 	NGC 1360              	O(H)                                  	WD/MS                         	MN1977
221.0-01.4 	PHR 0701-0749         	wels                                  	                              	
221.3-12.3 	IC 2165               	wels                                  	                              	
221.5+46.3 	EGB 6                 	hgO(H)                                	                              	BM1993
222.1+03.9 	PFP 1                 	pre-WD?                               	                              	
222.5+07.6 	BMP 0736-0500         	Blue                                  	                              	
222.8-04.2 	PM 1-23               	[WC7]                                 	                              	HZ2010
224.9+01.0 	We 1-6                	hgO(H)                                	                              	
225.5-02.5 	MPA 0705-1224         	Blue                                  	                              	
228.0-00.4 	MPA 0717-1334         	Blue?                                 	                              	
228.2-22.1 	DeHt 1                	K V                                   	                              	bc-CSPN
231.1+03.9 	BMP 0739-1418         	Blue                                  	                              	
231.8+04.1 	NGC 2438              	M3 V                                  	O(H)                          	BC2008
232.0+05.7 	SaSt 2-3              	OB                                    	                              	
232.8-04.7 	M 1-11                	emission-line                         	                              	
233.5-16.3 	A 15                  	O(H)                                  	                              	
234.3-07.2 	MPA 0704-2221         	Blue                                  	                              	
234.9-01.4 	M 1-14                	OB                                    	                              	
234.9-09.7 	MPA 0656-2356         	Blue                                  	                              	
235.3-03.9 	M 1-12                	emission-line                         	                              	
237.3-08.4 	BMP 0705-2528         	Blue                                  	                              	
237.4-09.6 	BMP 0700-2607         	Blue                                  	                              	
238.0+34.8 	A 33                  	O(H)                                  	                              	CB1999
239.6+13.9 	NGC 2610              	WD?                                   	                              	CB1999
240.3+07.0 	Y-C 2-5               	emission-line                         	                              	
240.8-19.6 	KLSS 1-9              	OB                                    	                              	
241.0+02.3 	M 3-4                 	cont.                                 	                              	
242.6-11.6 	M 3-1                 	cont.                                 	                              	
243.3-01.0 	NGC 2452              	[WO1]                                 	                              	
243.8-37.1 	PRTM 1                	O(H)                                  	                              	
245.0+02.2 	BMP 0803-2706         	Blue                                  	                              	
245.1-05.5 	BMP 0733-3108         	Blue                                  	                              	
245.4+01.6 	M 3-5                 	O7                                    	                              	
248.7+29.5 	A 34                  	hgO(H)                                	                              	
248.8-08.5 	M 4-2                 	emission-line                         	                              	
250.5+01.9 	BMP 0816-3150         	Blue                                  	                              	
250.6+09.3 	BMP 0844-2737         	Blue                                  	                              	
252.6+04.4 	K 1-1                 	G-K                                   	                              	bc-CSPN
253.5+10.7 	K 1-2                 	K2 V (earlier than)                   	                              	BG1987
253.9+05.7 	M 3-6                 	wels                                  	                              	
254.6+00.2 	Ns 238                	OB                                    	                              	
255.3-59.6 	Lo 1                  	hgO(H)                                	                              	
257.5+00.6 	VBRC 1                	F V:                                  	                              	bc-CSPN
258.0-03.2 	BMP 0815-4053         	Blue                                  	                              	
258.0-15.7 	wray 17-1             	PG 1159                               	                              	
258.1-00.3 	He 2-9                	wels                                  	                              	
258.5-01.3 	RCW 24                	absorption lines                      	                              	
261.0+32.0 	NGC 3242              	O(H)                                  	                              	
261.9+08.5 	NGC 2818              	cont.                                 	                              	
261.9-05.3 	BMP 0818-4517         	Blue                                  	                              	
263.0-05.5 	PB 2                  	emission-line?                        	                              	
263.1+04.3 	FPM 0904-4023         	Blue                                  	                              	
263.2+00.4 	K 2-15                	O(H)                                  	                              	
264.4-12.7 	He 2-5                	wels                                  	                              	
264.5+05.0 	FPM 0911-4051         	Blue                                  	                              	
264.6+03.8 	BMP 0907-4146         	Blue                                  	                              	
272.1+12.3 	NGC 3132              	A2 V                                  	                              	CB1999
272.8+01.0 	PMR 1                 	[WC9-10]                              	                              	
273.6+06.1 	HBDS 1                	O(H)                                  	                              	
274.3+09.1 	Lo 4                  	PG 1159                               	                              	
274.6+02.1 	He 2-35               	wels                                  	                              	
275.0-04.1 	PB 4                  	emission-line?                        	                              	
275.2-03.7 	He 2-25               	symbiotic star?                       	cont.                         	
276.1-11.9 	MPA 0835-6039         	Blue                                  	                              	
277.1-03.8 	NGC 2899              	F V:                                  	                              	bc-CSPN
277.7-3.5  	VBRC 2                	DAO                                   	                              	
278.1-05.9 	NGC 2867              	[WO2]                                 	                              	
278.8+04.9 	PB 6                  	[WO1]                                 	                              	
279.6-03.1 	He 2-36               	A2 III                                	sdO + A2 III                  	bc-CSPN
280.1-05.1 	BMP 0936-5905         	Blue?                                 	                              	
281.0-05.6 	IC 2501               	emission-line                         	                              	
283.6+25.3 	K 1-22                	F V                                   	                              	CB1999
283.9+09.7 	DS 1                  	M5 V                                  	                              	D1985
284.2-05.3 	PM 12                 	[WR]                                  	                              	
285.4+01.5 	Pe 1-1                	[WO4]                                 	                              	
285.4-05.3 	IC 2553               	emission-line                         	                              	
285.6-02.7 	He 2-47               	emission-line                         	                              	
285.7-14.9 	IC 2448               	O(H)                                  	                              	
286.3+02.8 	He 2-55               	[WO3]                                 	                              	
286.8-29.5 	K 1-27                	O(He)                                 	                              	CB1999
289.6-01.6 	He 2-57               	symbiotic star?                       	                              	
289.8+07.7 	He 2-63               	wels                                  	                              	
291.3+08.4 	PMR 2                 	[WO4]-[WC4]                           	                              	
291.3-26.2 	Vo 1                  	[WC10]                                	                              	
291.4+19.2 	LoTr 4                	O(He)                                 	                              	
291.6-04.8 	IC 2621               	emission-line                         	                              	
291.7+03.7 	He 2-64               	O(He)                                 	                              	
292.4+04.1 	PB 8                  	[WC5-6]                               	                              	
293.2-09.5 	MPA 1054-7013         	Blue                                  	                              	
293.6+10.9 	BlDz 1                	H-rich                                	                              	
294.1+14.4 	Lo 6                  	cont.                                 	                              	
294.1+43.6 	NGC 4361              	O6                                    	                              	
296.0-06.2 	MPA 1137-6806         	Blue                                  	                              	
297.0+06.5 	BMP 1209-5553         	[WO1-2]                               	                              	
300.1+04.1 	BMP 1229-5839         	Blue                                  	                              	
300.7-02.0 	He 2-86               	[WC4]                                 	                              	
301.9-02.1 	MPA 1242-6459         	wels?                                 	                              	
302.0-01.6 	MPA 1243-6428         	[WC9]                                 	                              	
303.6+40.0 	A 35                  	? + G8 IV                             	                              	bc-CSPN
305.1+01.4 	He 2-90               	B[e]                                  	                              	
306.4-00.6 	Th 2-A                	[WO3]pec                              	                              	
307.2-03.4 	NGC 5189              	[WO1]                                 	                              	
307.2-05.3 	MPA 1337-6751         	Blue                                  	                              	
307.2-09.0 	He 2-97               	emission-line                         	                              	
307.5-04.9 	MyCn 18               	Of(C)                                 	                              	
308.2+07.7 	MeWe 1-3              	DAO                                   	                              	
308.4+00.4 	WeKg 2                	H-rich                                	                              	
308.5+02.5 	PMR 6                 	[WC4]                                 	                              	
308.6-12.2 	He 2-105              	OB                                    	                              	
309.0-04.2 	He 2-99               	[WC9]                                 	                              	
309.1-04.3 	NGC 5315              	[WO4]                                 	                              	
309.6-04.8 	MPA 1400-6647         	Blue                                  	                              	
309.8-01.6 	MPA 1354-6337         	[WO4]?                                	                              	
310.3+24.7 	Lo 8                  	O(H)                                  	                              	
311.0+02.4 	SuWt 2                	B9 V                                  	                              	BO2002
312.3+10.5 	NGC 5307              	emission-line                         	                              	
312.6-01.8 	He 2-107              	emission-line                         	                              	
313.4+06.2 	MPA 1405-5507         	[WC4-6]                               	                              	
313.8-05.7 	BMP 1442-6615         	Blue                                  	                              	
313.9+02.8 	PM 9                  	[WR]                                  	                              	
315.1-13.0 	He 2-131              	wels                                  	                              	
316.1+08.4 	He 2-108              	wels                                  	                              	
316.7-05.8 	MPA 1508-6455         	Blue                                  	                              	M2010
318.4+41.4 	A 36                  	O(H)                                  	                              	
319.6+15.7 	IC 4406               	[WR]                                  	                              	
320.1-09.6 	He 2-138              	Of(H)                                 	O(H)                          	
320.3-28.8 	He 2-434              	OB                                    	                              	
320.7+04.2 	BMP 1457-5413         	Blue?                                 	                              	
321.0+03.9 	He 2-113              	[WC10]                                	                              	
322.5-05.2 	NGC 5979              	emission-line                         	                              	
